question_id,correct_answer
1,5
2,1
3,4
4,4
5,5
6,1
7,3
7,5
8,4
9,3
10,3
11,5
12,5
13,3
13,4
14,3
14,4
15,2
15,3
16,2
17,2
18,1
19,2
20,1
21,2
21,5
22,2
22,4
23,2
24,3
25,4
26,3
27,5
28,4
29,5
30,4
31,4
32,4
32,5
33,2
34,1
35,3
35,5
36,5
37,2
37,3
38,2
39,4
40,5
41,1
41,4
42,2
43,1
43,3
44,3
45,3
46,4
46,5
47,3
48,3
49,4
50,5
51,5
52,1
53,4
54,4
55,1
55,3
56,2
56,3
57,2
58,1
59,2
60,5
61,2
61,5
62,1
62,5
63,2
64,5
65,1
65,4
66,1
66,3
67,2
68,3
69,5
70,2
71,5
72,2
72,4
73,1
73,5
74,4
75,4
76,3
77,4
78,4
79,3
80,4
81,5
82,1
83,4
84,4
85,3
86,2
87,1
88,4
89,2
89,3
90,2
90,3
91,4
92,4
92,5
93,5
94,3
95,2
96,4
97,3
97,5
98,2
99,2
100,1
101,2
102,2
102,4
103,2
104,3
105,3
106,5
107,4
108,1
109,2
110,3
111,4
112,2
113,2
114,1
114,2
115,2
116,4
116,5
117,2
117,4
118,4
119,3
119,4
120,5
121,1
122,3
123,1
124,5
125,3
126,1
127,4
127,5
128,1
129,2
130,1
131,3
131,4
132,4
133,5
134,2
134,3
135,1
135,2
136,4
137,2
138,3
139,5
140,3
141,1
141,3
142,2
143,1
144,2
144,3
145,3
146,4
147,4
148,5
149,3
150,5
151,2
152,2
153,1
154,4
155,4
156,5
157,3
158,4
159,1
159,5
160,1
161,2
162,4
163,3
164,5
165,3
166,3
167,5
168,4
169,3
170,1
170,5
171,2
171,3
172,2
173,4
174,3
175,1
175,4
176,4
177,3
177,4
178,3
179,5
180,3
181,3
182,3
182,4
182,5
183,5
184,1
185,3
185,5
186,1
186,5
187,5
188,4
189,3
189,5
190,2
191,2
192,1
193,3
194,3
195,4
195,5
196,5
197,1
197,5
198,4
199,1
200,5
