question_text,year,subject
検査や投薬の種類・量に関わらず、病気の種類と入院日数に応じて医療費が決められる診療報酬計算の方式を指す用語はどれか。,2021(第67回),臨床検査総論
尿試験紙法による検査でビタミンC内服の影響が小さいのはどれか。,2021(第67回),一般・医動物学
尿沈渣中の白血球と上皮細胞との鑑別に用いるのはどれか。,2021(第67回),一般・医動物学
糞便の特徴と疾患の組合せで正しいのはどれか。2つ選べ。,2021(第67回),一般・医動物学
最もサイズが小さいのはどれか。,2021(第67回),一般・医動物学
成人男性がアフリカから帰国後に発熱した。末血厚層塗抹のGiemsa染色標本(別冊No.1)を別に示す。この感染症について正しいのはどれか。,2021(第67回),一般・医動物学
採血中に患者の顔面が蒼白になり、気分不快を訴えた。この採血合併症について誤っているのはどれか。,2021(第67回),臨床検査総論
空気感染予防策を必要とするのはどれか。2つ選べ。,2021(第67回),微生物学
ピンク色泡沫状で漿液性の喀痰が得られた。考えられる疾患はどれか。,2021(第67回),臨床検査総論
黄色のバイオハザードマークが貼付されている容器に廃棄するのはどれか。,2021(第67回),臨床検査総論
一次救命処置に含まれないのはどれか。,2021(第67回),臨床検査総論
ヒトパピローマウイルスによって引き起こされるのはどれか。,2021(第67回),微生物学
間質性肺炎の血清マーカーはどれか。2つ選べ。,2021(第67回),病理学
心不全の重症度評価に用いられるのはどれか。,2021(第67回),臨床化学
慢性閉塞性肺疾患〈COPD〉で増加するのはどれか。,2021(第67回),生理学
成人の心電図で異常値はどれか。,2021(第67回),生理学
心電図(別冊No.2)を別に示す。正しいのはどれか。,2021(第67回),生理学
トレッドミル負荷試験について正しいのはどれか。2つ選べ。,2021(第67回),生理学
傍胸骨長軸のカラードプラ像(別冊No.3)を別に示す。この症例で聴取される可能性が最も高い心雑音はどれか。,2021(第67回),生理学
ボイル・シャルルの法則の記載で正しいのはどれか。ただし、気体の体積、圧力、絶対温度をそれぞれV、P、Tとし、定数をRとする。,2021(第67回),生理学
吸気および呼気ともに最大努力で得られたフローボリューム曲線(別冊No.4)を別に示す。考えられるのはどれか。,2021(第67回),生理学
ガス希釈法による測定が必要な肺気量分画はどれか。2つ選べ。,2021(第67回),生理学
低水準の消毒が適切でないのはどれか。,2021(第67回),生理学
超音波画像のアーチファクトで虚像が出現しないのはどれか。,2021(第67回),生理学
