question_text,year,subject
EDTA-2K採血管で採取した血漿を用いた場合、測定値が血清より高くなるのはどれか。,2023(第69回),臨床検査総論
パニック値として報告すべきなのはどれか。,2023(第69回),臨床検査総論
クレアチニン（酵素法）の内部精度管理図（x̄管理図）を示す。原因として最も考えられるのはどれか。,2023(第69回),臨床検査総論
尿沈渣の無染色標本（別冊No.1Ａ）及びSternheimer染色標本（別冊No.1Ｂ）を別に示す。この構造物はどれか。,2023(第69回),一般・医動物学
人獣共通感染症をきたすのはどれか。,2023(第69回),一般・医動物学
61歳の女性。有機農業従事者。腹痛で来院し、虫卵検査を行った。糞便の直接塗抹標本（別冊No.2）を別に示す。考えられるのはどれか。,2023(第69回),一般・医動物学
コンパニオン検査の特徴について正しいのはどれか。2つ選べ。,2023(第69回),臨床検査総論
標準予防策に追加の感染予防策が必要な感染症はどれか。,2023(第69回),臨床検査総論
培養検査で検出された細菌が起炎菌である可能性の最も高い検体はどれか。,2023(第69回),臨床検査総論
臥位に比べて座位で採血したときに高値となる血清成分はどれか。,2023(第69回),臨床化学
WPW症候群に合併しやすいのはどれか。,2023(第69回),生理学
BRCA1/2の病的変異が検出されるのはどれか。,2023(第69回),病理学
汎血球減少症を呈するのはどれか。2つ選べ。,2023(第69回),血液学
末期慢性腎不全で認められるのはどれか。2つ選べ。,2023(第69回),臨床化学
メタボリックシンドロームの診断基準に含まれるのはどれか。2つ選べ。,2023(第69回),臨床化学
シールドルームで行うことが望ましい検査はどれか。,2023(第69回),生理学
心電図波形（別冊No.3）を別に示す。試みるべき対処法として正しいのはどれか。,2023(第69回),生理学
動脈管開存症に特徴的な心雑音はどれか。,2023(第69回),生理学
フローボリューム曲線（別冊No.4）を別に示す。1秒量は1.08Lであった1秒率［％］に最も近いのはどれか。,2023(第69回),生理学
体プレチスモグラフによる機能的残気量の測定原理はどれか。,2023(第69回),生理学
呼吸商を求めるのに必要なのはどれか。2つ選べ。,2023(第69回),生理学
運動単位を構成するのはどれか。2つ選べ。,2023(第69回),生理学
脳波の記録法で正しいのはどれか。,2023(第69回),生理学
