question_id,option_text,position
401,APACHE〈acute physiology and chronic health evaluation〉,1
401,DPC〈diagnosis procedure combination〉,2
401,GCP〈good clinical practice〉,3
401,SOP〈standard operation procedure〉,4
401,TQC〈total quality control〉,5
402,糖,1
402,潜血,2
402,蛋白,3
402,亜硝酸塩,4
402,ビリルビン,5
403,Berlin blue染色,1
403,Prescott-Brodie染色,2
403,Samson染色,3
403,May-Giemsa染色,4
403,SudanⅢ染色,5
404,黒色便　-----　下部消化管出血,1
404,灰白色便　-----　閉塞性黄疸,2
404,白色下痢便　-----　アメーバ赤痢,3
404,米のとぎ汁様便　-----　コレラ,4
404,イチゴゼリー状粘血便　-----　細菌性赤痢,5
405,鉤虫卵,1
405,鞭虫卵,2
405,横川吸虫卵,3
405,日本住血吸虫卵,4
405,Westerman肺吸虫卵,5
406,自然治癒する。,1
406,治療薬はない。,2
406,ツェツェバエが媒介する。,3
406,感染初期に肝臓で増殖する。,4
406,細胞内寄生細菌感染症である。,5
407,徐脈になる。,1
407,高齢者に多い。,2
407,血圧が低下する。,3
407,緊張が誘因となる。,4
407,直ちに採血を中止する。,5
408,結核,1
408,水痘,2
408,風疹,3
408,百日咳,4
408,流行性耳下腺炎,5
409,肺癌,1
409,肺梗塞,2
409,肺水腫,3
409,気管支炎,4
409,気管支拡張症,5
410,開封した注射針,1
410,血液が入った採血管,2
410,痰が入った採取容器,3
410,血液が付着したガーゼ,4
410,採血時に用いた酒精綿,5
411,意識確認,1
411,気道確保,2
411,人工呼吸,3
411,静脈路確保,4
411,AEDの使用,5
412,乳癌,1
412,卵巣癌,2
412,子宮筋腫,3
412,子宮頸癌,4
412,子宮体癌,5
413,CYFRA,1
413,KL-6,2
413,ProGRP,3
413,SLX,4
413,SP-D,5
414,AST,1
414,BNP,2
414,CK,3
414,LD,4
414,トロポニン,5
415,残気量,1
415,肺活量,2
415,1秒率,3
415,1秒量,4
415,肺拡散能,5
416,P波幅 0.10秒,1
416,PR時間 0.18秒,2
416,QRS幅 0.20秒,3
416,QTc 0.40秒,4
416,電気軸 60度,5
417,右胸心,1
417,右軸偏位,2
417,側壁梗塞,3
417,胸部電極の付け間違い,4
417,四肢電極の付け間違い,5
418,不安定狭心症は禁忌である。,1
418,目標心拍数は体重で決める。,2
418,誘導方法はCM5誘導を用いる。,3
418,運動誘発性不整脈の診断に用いられる。,4
418,Bruce法では1分ごとに負荷量を増大させる。,5
419,機能性雑音,1
419,連続性雑音,2
419,拡張早期雑音,3
419,全収縮期雑音,4
419,駆出性収縮期雑音,5
420,P・T/V=R,1
420,P・V/T=R,2
420,R・P/T=V,3
420,R・V/P=T,4
420,T・V/P=R,5
421,気管狭窄,1
421,間質性肺炎,2
421,気管支喘息,3
421,胸椎後側弯症,4
421,慢性閉塞性肺疾患,5
422,全肺気量,1
422,1回換気量,2
422,最大吸気量,3
422,予備呼気量,4
422,機能的残気量,5
423,ヘッドホン,1
423,心電図の電極,2
423,マウスピース,3
423,ノーズクリップ,4
423,体表アプローチエコープローブ,5
424,音響陰影,1
424,多重反射,2
424,レンズ効果,3
424,サイドローブ,4
424,ミラーイメージ,5
425,肝表面不整,1
425,カメレオンサイン,2
425,ブルズアイサイン,3
425,モザイクパターン,4
425,肝腎コントラストの増強,5
426,耳垢塞栓,1
426,耳硬化症,2
426,中耳炎,3
426,突発性難聴,4
426,メニエール〈Ménière〉病,5
427,Ⅷ,1
427,Ⅸ,2
427,Ⅹ,3
427,Ⅺ,4
427,Ⅻ,5
428,運動領,1
428,感覚領,2
428,嗅覚領,3
428,視覚領,4
428,連合領,5
429,HbA1cは溶血性疾患で低値になる。,1
429,HbA1cは過去約2週間の平均血糖値を反映する。,2
429,グリコアルブミンは過去約2か月の平均血糖値を反映する。,3
429,"1,5-アンヒドログルシトール〈1,5-AG〉は腎性糖尿で高値になる。",4
429,"1,5-アンヒドログルシトール〈1,5-AG〉は過去約3か月の平均血糖値を反映する。",5
430,肝硬変で減少する。,1
430,筋肉で産生される。,2
430,低酸素血症で増加する。,3
430,血中では陰イオンとして存在する。,4
430,乳酸アシドーシスではアニオンギャップが増加する。,5
431,胆汁酸,1
431,アセトン,2
431,ピルビン酸,3
431,アラキドン酸,4
431,3-ヒドロキシ酪酸,5
432,ビタミンA　-----　夜盲症,1
432,ビタミンB1　-----　Wernicke脳症,2
432,ビタミンC　-----　壊血病,3
432,ビタミンD　-----　くる病,4
432,ビタミンK　-----　脚気,5
433,リボース,1
433,リブロース,2
433,ガラクトース,3
433,キシルロース,4
433,フルクトース,5
434,ソマトスタチンはインスリン分泌を促進する。,1
434,インスリン抵抗性はインスリン分泌が低下した状態である。,2
434,C-ペプチドとインスリンは1：2の分子数比で放出される。,3
434,糖新生系はピルビン酸からグルコースを新生する代謝系である。,4
434,ジペプチジルペプチダーゼ4〈DPP-4〉はインクレチンを分解する。,5
435,鉄　-----　トランスサイレチン,1
435,銅　-----　α2-マクログロブリン,2
435,亜鉛　-----　セルロプラスミン,3
435,カルシウム　-----　フェリチン,4
435,マグネシウム　-----　アルブミン,5
436,α1-アンチトリプシン,1
436,α1-酸性糖蛋白,2
436,ハプトグロビン,3
436,トランスフェリン,4
436,フィブリノゲン,5
437,260,1
437,340,2
437,450,3
437,540,4
437,570,5
438,Cl-,1
438,HCO3-,2
438,HPO4 2-,3
438,Mg2+,4
438,Na+,5
439,レシチン,1
439,遊離脂肪酸,2
439,トリグリセライド,3
439,遊離型コレステロール,4
439,エステル型コレステロール,5
440,HDL3とHDL2の中間,1
440,HDL2とLDLの中間,2
440,LDLとVLDLの中間,3
440,VLDLとCMの中間,4
440,CMとCMレムナントの中間,5
441,核小体,1
441,粗面小胞体,2
441,リボソーム,3
441,ミトコンドリア,4
441,ゴルジ〈Golgi〉装置,5
442,CK,1
442,LD,2
442,ALT,3
442,AST,4
442,ChE,5
443,肺,1
443,肝臓,2
443,胸腺,3
443,腎臓,4
443,副甲状腺,5
444,0.25,1
444,1.25,2
444,2.50,3
444,12.5,4
444,25.0,5
445,気泡の発生を防ぐ。,1
445,切片を乾燥させてから行う。,2
445,切片の傷を修復するために行う。,3
